2025/08/05 17:04:16 2025-08-05T17:04:16+03:00,30.05
2025/08/05 17:13:00 2025-08-05T17:13:00+03:00,30.05
2025/08/05 17:13:58 2025-08-05T17:13:58+03:00,30.05
2025/08/05 17:14:55 2025-08-05T17:14:55+03:00,30.05
2025/08/05 17:15:54 2025-08-05T17:15:54+03:00,30.05
2025/08/05 17:16:55 2025-08-05T17:16:55+03:00,30.05
2025/08/05 17:24:01 2025-08-05T17:24:01+03:00,30.05
2025/08/05 17:24:44 2025-08-05T17:24:44+03:00,30.05
2025/08/05 17:25:46 2025-08-05T17:25:46+03:00,30.05
2025/08/05 17:26:44 2025-08-05T17:26:44+03:00,30.05
2025/08/05 17:27:44 2025-08-05T17:27:44+03:00,30.05
2025/08/05 17:28:11 2025-08-05T17:28:11+03:00,30.05
2025/08/05 17:28:36 2025-08-05T17:28:36+03:00,30.05
2025/08/05 17:29:38 2025-08-05T17:29:38+03:00,30.05
2025/08/05 17:30:37 2025-08-05T17:30:37+03:00,30.05
2025/08/05 17:31:37 2025-08-05T17:31:37+03:00,30.05
2025/08/05 17:32:38 2025-08-05T17:32:38+03:00,30.05
2025/08/05 17:33:37 2025-08-05T17:33:37+03:00,30.05
2025/08/05 17:34:37 2025-08-05T17:34:37+03:00,30.05
2025/08/05 17:52:22 2025-08-05T17:52:22+03:00,28.31
2025/08/05 17:52:27 2025-08-05T17:52:27+03:00,30.04
2025/08/05 17:53:09 2025-08-05T17:53:09+03:00,28.33
2025/08/05 17:53:29 2025-08-05T17:53:29+03:00,30.04
2025/08/05 17:54:11 2025-08-05T17:54:11+03:00,28.33
2025/08/05 17:54:27 2025-08-05T17:54:27+03:00,30.04
2025/08/05 17:55:09 2025-08-05T17:55:09+03:00,28.33
2025/08/05 17:55:27 2025-08-05T17:55:27+03:00,30.04
2025/08/05 17:56:09 2025-08-05T17:56:09+03:00,28.35
2025/08/05 17:56:28 2025-08-05T17:56:28+03:00,30.04
2025/08/05 17:57:28 2025-08-05T17:57:28+03:00,30.04
2025/08/05 17:58:27 2025-08-05T17:58:27+03:00,30.04
2025/08/05 17:59:27 2025-08-05T17:59:27+03:00,30.04
2025/08/05 18:00:27 2025-08-05T18:00:27+03:00,30.04
2025/08/05 18:01:42 2025-08-05T18:01:42+03:00,30.04
2025/08/05 18:02:27 2025-08-05T18:02:27+03:00,30.04
2025/08/05 18:03:27 2025-08-05T18:03:27+03:00,30.04
2025/08/05 18:04:28 2025-08-05T18:04:28+03:00,30.04
2025/08/05 18:10:51 2025-08-05T18:10:51+03:00,29.62
2025/08/05 18:11:48 2025-08-05T18:11:48+03:00,29.62
2025/08/05 18:12:47 2025-08-05T18:12:47+03:00,29.62
2025/08/05 18:13:48 2025-08-05T18:13:48+03:00,29.62
